Movie,trunc,Release Date,Distributor,Genre
The Avengers,The Avengers,"May 4, 2012",Walt Disney,Action
The Dark Knight Rises,The Dark Knight Rise,"Jul 20, 2012",Warner Bros.,Action
The Hunger Games,The Hunger Games,"Mar 23, 2012",Lionsgate,Action
Skyfall,Skyfall,"Nov 9, 2012",Sony Pictures,Action
The Twilight Saga: Breaking…,The Twilight Saga: B,"Nov 16, 2012",Lionsgate,Drama
The Hobbit: An Unexpected J…,The Hobbit: An Unexp,"Dec 14, 2012",Warner Bros.,Adventure
The Amazing Spider-Man,The Amazing Spider-M,"Jul 3, 2012",Sony Pictures,Adventure
Brave,Brave,"Jun 22, 2012",Walt Disney,Adventure
Ted,Ted,"Jun 29, 2012",Universal,Comedy
Madagascar 3: Europe's Most…,Madagascar 3: Europe,"Jun 8, 2012",Paramount Pictures,Adventure
Dr. Seuss' The Lorax,Dr. Seuss' The Lorax,"Mar 2, 2012",Universal,Adventure
Men in Black 3,Men in Black 3,"May 25, 2012",Sony Pictures,Action
Wreck-It Ralph,Wreck-It Ralph,"Nov 2, 2012",Walt Disney,Adventure
Ice Age: Continental Drift,Ice Age: Continental,"Jul 13, 2012",20th Century Fox,Adventure
Snow White and the Huntsman,Snow White and the H,"Jun 1, 2012",Universal,Adventure
Hotel Transylvania,Hotel Transylvania,"Sep 28, 2012",Sony Pictures,Adventure
Lincoln,Lincoln,"Nov 9, 2012",Walt Disney,Drama
Taken 2,Taken 2,"Oct 5, 2012",20th Century Fox,Thriller/Suspense
21 Jump Street,21 Jump Street,"Mar 16, 2012",Sony Pictures,Comedy
Prometheus,Prometheus,"Jun 8, 2012",20th Century Fox,Thriller/Suspense
Safe House,Safe House,"Feb 10, 2012",Universal,Thriller/Suspense
The Vow,The Vow,"Feb 10, 2012",Sony Pictures,Drama
Magic Mike,Magic Mike,"Jun 29, 2012",Warner Bros.,Comedy
The Bourne Legacy,The Bourne Legacy,"Aug 10, 2012",Universal,Thriller/Suspense
Argo,Argo,"Oct 12, 2012",Warner Bros.,Thriller/Suspense
Django Unchained,Django Unchained,"Dec 25, 2012",Weinstein Co.,Western
Journey 2: The Mysterious I…,Journey 2: The Myste,"Feb 10, 2012",Warner Bros.,Adventure
Les Misérables,Les Misérables,"Dec 25, 2012",Universal,Musical
Rise of the Guardians,Rise of the Guardian,"Nov 21, 2012",Paramount Pictures,Adventure
Flight,Flight,"Nov 2, 2012",Paramount Pictures,Drama
Think Like a Man,Think Like a Man,"Apr 20, 2012",Sony Pictures,Romantic Comedy
Life of Pi,Life of Pi,"Nov 21, 2012",20th Century Fox,Drama
The Campaign,The Campaign,"Aug 10, 2012",Warner Bros.,Comedy
The Expendables 2,The Expendables 2,"Aug 17, 2012",Lionsgate,Action
Wrath of the Titans,Wrath of the Titans,"Mar 30, 2012",Warner Bros.,Adventure
Dark Shadows,Dark Shadows,"May 11, 2012",Warner Bros.,Black Comedy
John Carter,John Carter,"Mar 9, 2012",Walt Disney,Adventure
Act of Valor,Act of Valor,"Feb 24, 2012",Relativity,Action
Mission: Impossible—Ghost P…,Mission: Impossible—,"Dec 21, 2011",Paramount Pictures,Action
Contraband,Contraband,"Jan 13, 2012",Universal,Action
Looper,Looper,"Sep 28, 2012",Sony Pictures,Action
Tyler Perry's Madea's Witne…,Tyler Perry's Madea',"Jun 29, 2012",Lionsgate,Comedy
Battleship,Battleship,"May 18, 2012",Universal,Action
Mirror Mirror,Mirror Mirror,"Mar 30, 2012",Relativity,Adventure
Jack Reacher,Jack Reacher,"Dec 21, 2012",Paramount Pictures,Thriller/Suspense
Pitch Perfect,Pitch Perfect,"Oct 5, 2012",Universal,Comedy
Chronicle,Chronicle,"Feb 3, 2012",20th Century Fox,Thriller/Suspense
Hope Springs,Hope Springs,"Aug 8, 2012",Sony Pictures,Romantic Comedy
Underworld: Awakening,Underworld: Awakenin,"Jan 20, 2012",Sony Pictures,Action
The Lucky One,The Lucky One,"Apr 20, 2012",Warner Bros.,Drama
The Dictator,The Dictator,"May 16, 2012",Paramount Pictures,Comedy
Total Recall,Total Recall,"Aug 3, 2012",Sony Pictures,Action
Titanic,Titanic,"Dec 19, 1997",,Drama
American Reunion,American Reunion,"Apr 6, 2012",Universal,Comedy
ParaNorman,ParaNorman,"Aug 17, 2012",Focus Features,Adventure
This Means War,This Means War,"Feb 17, 2012",20th Century Fox,Romantic Comedy
Project X,Project X,"Mar 2, 2012",Warner Bros.,Comedy
The Woman in Black,The Woman in Black,"Feb 3, 2012",CBS Films,Horror
This is 40,This is 40,"Dec 21, 2012",Universal,Comedy
Paranormal Activity 4,Paranormal Activity ,"Oct 19, 2012",Paramount Pictures,Horror
The Devil Inside,The Devil Inside,"Jan 6, 2012",Paramount Pictures,Horror
Parental Guidance,Parental Guidance,"Dec 25, 2012",20th Century Fox,Comedy
The Odd Life of Timothy Green,The Odd Life of Timo,"Aug 15, 2012",Walt Disney,Drama
Ghost Rider: Spirit of Veng…,Ghost Rider: Spirit ,"Feb 17, 2012",Sony Pictures,Action
The Grey,The Grey,"Jan 27, 2012",Open Road,Thriller/Suspense
Sherlock Holmes: A Game of …,Sherlock Holmes: A G,"Dec 16, 2011",Warner Bros.,Action
Red Tails,Red Tails,"Jan 20, 2012",20th Century Fox,Drama
The Possession,The Possession,"Aug 31, 2012",Lionsgate,Horror
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid,"Aug 3, 2012",20th Century Fox,Comedy
Sinister,Sinister,"Oct 12, 2012",Lionsgate,Horror
Beauty and the Beast,Beauty and the Beast,"Jun 21, 2002",Walt Disney,Musical
Savages,Savages,"Jul 6, 2012",Universal,Thriller/Suspense
The Girl with the Dragon Ta…,The Girl with the Dr,"Dec 20, 2011",Sony Pictures,Thriller/Suspense
The Best Exotic Marigold Hotel,The Best Exotic Mari,"May 4, 2012",Fox Searchlight,Comedy
Moonrise Kingdom,Moonrise Kingdom,"May 25, 2012",Focus Features,Drama
The Three Stooges,The Three Stooges,"Apr 13, 2012",20th Century Fox,Comedy
Here Comes the Boom,Here Comes the Boom,"Oct 12, 2012",Sony Pictures,Comedy
Red Dawn,Red Dawn,"Nov 21, 2012",Open Road,Action
Star Wars Ep. I: The Phanto…,Star Wars Ep. I: The,"May 19, 1999",20th Century Fox,Adventure
Resident Evil: Retribution,Resident Evil: Retri,"Sep 14, 2012",Sony Pictures,Horror
The Descendants,The Descendants,"Nov 16, 2011",Fox Searchlight,Drama
The Cabin in the Woods,The Cabin in the Woo,"Apr 13, 2012",Lionsgate,Horror
What to Expect When You're …,What to Expect When ,"May 18, 2012",Lionsgate,Romantic Comedy
End of Watch,End of Watch,"Sep 21, 2012",Open Road,Thriller/Suspense
Finding Nemo,Finding Nemo,"May 30, 2003",Walt Disney,Adventure
The Artist,The Artist,"Nov 25, 2011",Weinstein Co.,Drama
War Horse,War Horse,"Dec 25, 2011",Walt Disney,Drama
Rock of Ages,Rock of Ages,"Jun 15, 2012",Warner Bros.,Musical
Abraham Lincoln: Vampire Hu…,Abraham Lincoln: Vam,"Jun 22, 2012",20th Century Fox,Horror
Lawless,Lawless,"Aug 29, 2012",Weinstein Co.,Drama
That’s My Boy,That’s My Boy,"Jun 15, 2012",Sony Pictures,Comedy
Trouble with the Curve,Trouble with the Cur,"Sep 21, 2012",Warner Bros.,Drama
Alvin and the Chipmunks: Ch…,Alvin and the Chipmu,"Dec 16, 2011",20th Century Fox,Adventure
Step Up Revolution,Step Up Revolution,"Jul 27, 2012",Lionsgate,Drama
Tyler Perry's Good Deeds,Tyler Perry's Good D,"Feb 24, 2012",Lionsgate,Drama
Frankenweenie,Frankenweenie,"Oct 5, 2012",Walt Disney,Adventure
Silver Linings Playbook,Silver Linings Playb,"Nov 16, 2012",Weinstein Co.,Drama
The Watch,The Watch,"Jul 27, 2012",20th Century Fox,Comedy
2016: Obama’s America,2016: Obama’s Americ,"Jul 13, 2012",Rocky Mountain Pi…,Documentary
House at the End of the Street,House at the End of ,"Sep 21, 2012",Relativity,Horror
Extremely Loud and Incredib…,Extremely Loud and I,"Dec 25, 2011",Warner Bros.,Drama
We Bought a Zoo,We Bought a Zoo,"Dec 23, 2011",20th Century Fox,Drama
The Guilt Trip,The Guilt Trip,"Dec 19, 2012",Paramount Pictures,Comedy
The Pirates! Band of Misfits,The Pirates! Band of,"Apr 27, 2012",Sony Pictures,Adventure
Joyful Noise,Joyful Noise,"Jan 13, 2012",Warner Bros.,Musical
The Iron Lady,The Iron Lady,"Jan 13, 2012",Weinstein Co.,Drama
Chimpanzee,Chimpanzee,"Apr 20, 2012",Walt Disney,Documentary
The Five-Year Engagement,The Five-Year Engage,"Apr 27, 2012",Universal,Romantic Comedy
"Monsters, Inc.","Monsters, Inc.","Nov 2, 2001",Walt Disney,Adventure
Cloud Atlas,Cloud Atlas,"Oct 26, 2012",Warner Bros.,Drama
One for the Money,One for the Money,"Jan 27, 2012",Lionsgate,Comedy
The Adventures of Tintin,The Adventures of Ti,"Dec 21, 2011",Paramount Pictures,Adventure
Alex Cross,Alex Cross,"Oct 19, 2012",Lionsgate,Thriller/Suspense
Katy Perry: Part of Me,Katy Perry: Part of ,"Jul 5, 2012",Paramount Pictures,Concert/Perfor…
Sparkle,Sparkle,"Aug 17, 2012",Sony Pictures,Drama
Hugo,Hugo,"Nov 23, 2011",Paramount Pictures,Adventure
Texas Chainsaw 3D,Texas Chainsaw 3D,,,Horror
Premium Rush,Premium Rush,"Aug 24, 2012",Sony Pictures,Thriller/Suspense
Tinker Tailor Soldier Spy,Tinker Tailor Soldie,"Dec 9, 2011",Focus Features,Thriller/Suspense
Big Miracle,Big Miracle,"Feb 3, 2012",Universal,Drama
The Secret World of Arrietty,The Secret World of ,"Feb 17, 2012",Walt Disney,Adventure
Haywire,Haywire,"Jan 20, 2012",Relativity,Thriller/Suspense
Man on a Ledge,Man on a Ledge,"Jan 27, 2012",Lionsgate,Thriller/Suspense
A Thousand Words,A Thousand Words,"Mar 9, 2012",Paramount Pictures,Comedy
Chernobyl Diaries,Chernobyl Diaries,"May 25, 2012",Warner Bros.,Horror
Silent Hill: Revelation 3D,Silent Hill: Revelat,"Oct 26, 2012",Open Road,Horror
The Perks of Being a Wallfl…,The Perks of Being a,"Sep 21, 2012",Lionsgate,Drama
Wanderlust,Wanderlust,"Feb 24, 2012",Universal,Comedy
Born to be Wild 3D,Born to be Wild 3D,"Apr 8, 2011",Warner Bros.,Documentary
Safe,Safe,"Apr 27, 2012",Lionsgate,Action
To Rome with Love,To Rome with Love,"Jun 22, 2012",Sony Pictures Cla…,Romantic Comedy
The Raven,The Raven,"Apr 27, 2012",Relativity,Thriller/Suspense
The Master,The Master,"Sep 14, 2012",Weinstein Co.,Drama
The Man with the Iron Fists,The Man with the Iro,"Nov 2, 2012",Universal,Action
To the Arctic 3D,To the Arctic 3D,"Apr 20, 2012",Warner Bros.,Documentary
Seven Psychopaths,Seven Psychopaths,"Oct 12, 2012",CBS Films,Comedy
Killing Them Softly,Killing Them Softly,"Nov 30, 2012",Weinstein Co.,Thriller/Suspense
Lockout,Lockout,"Apr 13, 2012",Open Road,Thriller/Suspense
Hit & Run,Hit & Run,"Aug 22, 2012",Open Road,Comedy
Dredd,Dredd,"Sep 21, 2012",Lionsgate,Action
The Intouchables,The Intouchables,"May 25, 2012",Weinstein Co.,Comedy
Playing for Keeps,Playing for Keeps,"Dec 7, 2012",FilmDistrict,Romantic Comedy
Silent House,Silent House,"Mar 9, 2012",Open Road,Horror
People Like Us,People Like Us,"Jun 29, 2012",Walt Disney,Drama
Gone,Gone,"Feb 24, 2012",Lionsgate,Thriller/Suspense
Anna Karenina,Anna Karenina,"Nov 16, 2012",Focus Features,Drama
The Words,The Words,"Sep 7, 2012",CBS Films,Drama
Beasts of the Southern Wild,Beasts of the Southe,"Jun 27, 2012",Fox Searchlight,Drama
Cirque du Soleil: Worlds Away,Cirque du Soleil: Wo,"Dec 21, 2012",Paramount Pictures,Adventure
Fun Size,Fun Size,"Oct 26, 2012",Paramount Pictures,Comedy
Bernie,Bernie,"Apr 27, 2012",Alchemy,Black Comedy
Salmon Fishing in the Yemen,Salmon Fishing in th,"Mar 9, 2012",CBS Films,Drama
The Darkest Hour,The Darkest Hour,"Dec 25, 2011",Summit Entertainment,Action
Arbitrage,Arbitrage,"Sep 14, 2012",Roadside Attractions,Thriller/Suspense
New Year’s Eve,New Year’s Eve,"Dec 9, 2011",Warner Bros.,Romantic Comedy
Friends with Kids,Friends with Kids,"Mar 9, 2012",Roadside Attractions,Romantic Comedy
Seeking a Friend for the En…,Seeking a Friend for,"Jun 22, 2012",Focus Features,Comedy
A Separation,A Separation,"Dec 30, 2011",Sony Pictures Cla…,Drama
In Darkness,In Darkness,"Feb 10, 2012",Sony Pictures Cla…,Drama
The Collection,The Collection,"Nov 30, 2012",LD Distribution,Horror
The Muppets,The Muppets,"Nov 23, 2011",Walt Disney,Adventure
Chasing Mavericks,Chasing Mavericks,"Oct 26, 2012",20th Century Fox,Drama
Casa de mi Padre,Casa de mi Padre,"Mar 16, 2012",Lionsgate,Comedy
The Twilight Saga: Breaking…,The Twilight Saga: B,"Nov 18, 2011",Summit Entertainment,Drama
For Greater Glory,For Greater Glory,"Jun 1, 2012",ARC Entertainment,Drama
My Week with Marilyn,My Week with Marilyn,"Nov 23, 2011",Weinstein Co.,Drama
The Sessions,The Sessions,"Oct 19, 2012",Fox Searchlight,Drama
Hubble 3D,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary
Hitchcock,Hitchcock,"Nov 23, 2012",Fox Searchlight,Drama
October Baby,October Baby,"Mar 23, 2012",Five & Two Pictures,Drama
Won't Back Down,Won't Back Down,"Sep 28, 2012",20th Century Fox,Drama
The Apparition,The Apparition,"Aug 24, 2012",Warner Bros.,Horror
Zero Dark Thirty,Zero Dark Thirty,"Dec 19, 2012",Sony Pictures,Thriller/Suspense
Promised Land,Promised Land,"Dec 28, 2012",Focus Features,Drama
Jeff Who Lives at Home,Jeff Who Lives at Ho,"Mar 16, 2012",Paramount Vantage,Comedy
Flying Monsters 3D,Flying Monsters 3D,"Oct 6, 2011",National Geograph…,Documentary
Goon,Goon,"Mar 30, 2012",Magnet Pictures,Comedy
A Dangerous Method,A Dangerous Method,"Nov 23, 2011",Sony Pictures Cla…,Drama
The Raid: Redemption,The Raid: Redemption,"Mar 23, 2012",Sony Pictures Cla…,Action
Safety Not Guaranteed,Safety Not Guarantee,"Jun 8, 2012",FilmDistrict,Comedy
The Cold Light of Day,The Cold Light of Da,"Sep 7, 2012",Lionsgate,Thriller/Suspense
Pina,Pina,"Jan 20, 2012",IFC Films,Documentary
The Sitter,The Sitter,"Dec 9, 2011",20th Century Fox,Black Comedy
Young Adult,Young Adult,"Dec 9, 2011",Paramount Pictures,Comedy
Puss in Boots,Puss in Boots,"Oct 28, 2011",Paramount Pictures,Adventure
Bully,Bully,"Mar 30, 2012",Weinstein Co.,Documentary
The Impossible,The Impossible,"Dec 21, 2012",Lionsgate,Drama
Nitro Circus: The Movie 3D,Nitro Circus: The Mo,"Aug 8, 2012",ARC Entertainment,Reality
Atlas Shrugged: Part II,Atlas Shrugged: Part,"Oct 12, 2012",Atlas Distribution,Drama
Last Ounce of Courage,Last Ounce of Courag,"Sep 14, 2012",Rocky Mountain Pi…,Drama
Robot and Frank,Robot and Frank,"Aug 17, 2012",Samuel Goldwyn Films,Drama
Hyde Park on Hudson,Hyde Park on Hudson,"Dec 7, 2012",Focus Features,Drama
Raiders of the Lost Ark,Raiders of the Lost ,"Jun 12, 1981",Paramount Pictures,Adventure
Celeste and Jesse Forever,Celeste and Jesse Fo,"Aug 3, 2012",Sony Pictures Cla…,Romantic Comedy
Searching for Sugar Man,Searching for Sugar ,"Jul 27, 2012",Sony Pictures Cla…,Documentary
Jab Tak Hai Jaan,Jab Tak Hai Jaan,"Nov 13, 2012",Yash Raj Films,Drama
Happy Feet Two,Happy Feet Two,"Nov 18, 2011",Warner Bros.,Musical
Albert Nobbs,Albert Nobbs,"Dec 21, 2011",Roadside Attractions,Drama
Barfi,Barfi,"Sep 14, 2012",UTV Communications,Romantic Comedy
The Met: Live in HD - Aida,The Met: Live in HD ,"Dec 15, 2012",NCM Fathom,Concert/Perfor…
Talaash,Talaash,"Nov 30, 2012",Reliance Big Pict…,Drama
Samsara,Samsara,"Aug 24, 2012",Oscilloscope Pict…,Documentary
Girl in Progress,Girl in Progress,"May 11, 2012",Lionsgate,Drama
Jiro Dreams of Sushi,Jiro Dreams of Sushi,"Mar 9, 2012",Magnolia Pictures,Documentary
Ruby Sparks,Ruby Sparks,"Jul 25, 2012",Fox Searchlight,Romantic Comedy
Dabangg 2,Dabangg 2,"Dec 21, 2012",Eros Entertainment,Comedy
Omerta,Omerta,"Jul 11, 2012",,Thriller/Suspense
Jack and Jill,Jack and Jill,"Nov 11, 2011",Sony Pictures,Comedy
The Queen of Versailles,The Queen of Versail,"Jul 20, 2012",Magnolia Pictures,Documentary
Ek Tha Tiger,Ek Tha Tiger,"Aug 15, 2012",Yash Raj Films,Thriller/Suspense
Under the Sea 3D,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary
Sleepwalk With Me,Sleepwalk With Me,"Aug 24, 2012",IFC Films,Drama
Carnage,Carnage,"Dec 16, 2011",Sony Pictures Cla…,Black Comedy
Space Station,Space Station,"Apr 19, 2002",IMAX Films,Documentary
Shame,Shame,"Dec 2, 2011",Fox Searchlight,Drama
Footnote,Footnote,"Mar 9, 2012",Sony Pictures Cla…,Drama
Agneepath,Agneepath,"Jan 6, 2012",Eros Entertainment,Action
English Vinglish,English Vinglish,"Sep 28, 2012",Eros Entertainment,Drama
Crooked Arrows,Crooked Arrows,"May 18, 2012",Branded Entertain…,Drama
Monsieur Lazhar,Monsieur Lazhar,"Oct 28, 2011",Music Box Films,Drama
Hysteria,Hysteria,"May 18, 2012",Sony Pictures Cla…,Romantic Comedy
We Need to Talk About Kevin,We Need to Talk Abou,"Jan 13, 2012",Oscilloscope Pict…,Drama
2012 Oscar Shorts,2012 Oscar Shorts,"Feb 10, 2012",Shorts International,Multiple Genres
Sea Rex 3D,Sea Rex 3D,"May 28, 2010",3D Entertainment,Documentary
Your Sister's Sister,Your Sister's Sister,"Jun 15, 2012",IFC Films,Drama
Housefull 2,Housefull 2,"Apr 6, 2012",Eros Entertainment,Comedy
Marley,Marley,"Apr 20, 2012",Magnolia Pictures,Documentary
Kid With A Bike,Kid With A Bike,"Mar 16, 2012",IFC Films,Drama
A Late Quartet,A Late Quartet,"Nov 2, 2012",Entertainment One,Drama
"Farewell, My Queen","Farewell, My Queen","Jul 13, 2012",Cohen Media Group,Drama
Air Racers 3D,Air Racers 3D,"Apr 5, 2012",3D Entertainment,Documentary
Woman Thou Art Loosed On th…,Woman Thou Art Loose,"Apr 13, 2012",Codeblack Enterta…,Drama
Killer Joe,Killer Joe,"Jul 27, 2012",LD Distribution,Black Comedy
Bol Bachchan,Bol Bachchan,"Jul 6, 2012",Fox International,Action
"For a Good Time, Call","For a Good Time, Cal","Aug 31, 2012",Focus Features,Comedy
Tower Heist,Tower Heist,"Nov 4, 2011",Universal,Comedy
Take This Waltz,Take This Waltz,"Jun 29, 2012",Magnolia Pictures,Drama
Headhunters,Headhunters,"Apr 27, 2012",Magnolia Pictures,Thriller/Suspense
The Other Son,The Other Son,"Oct 26, 2012",Cohen Media Group,Drama
Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,"Feb 10, 2012",UTV Communications,Romantic Comedy
The Deep Blue Sea,The Deep Blue Sea,"Apr 13, 2012",Music Box Films,Drama
The Oogieloves in the BIG B…,The Oogieloves in th,"Aug 29, 2012",Kenn Viselman Pre…,Adventure
Cocktail,Cocktail,"Jul 13, 2012",Eros Entertainment,Romantic Comedy
